=== MEETING ATTENDEES ===
Total Attendees: 2
Meeting Start: 2026. 6. 26. 오후 1:01:22

Attendee List:
-  
- Gichan Lee

=== TRANSCRIPT ===
[오후 1:01:24]  : 라이브캡션.
[오후 1:05:21]  : 되고 그다음에 이제 그 밑에 있는 팀원, 아니 팀 멤버라는 이제 디벨로퍼죠. 소프트웨어 디벨로퍼는 에이아이 에이전트가 만든 걸 밸리 데이터 하는 역할을 하는.
[오후 1:05:24]  : 그랬을 때 이 디벨러퍼는?
[오후 1:05:30]  : 원 어떻게 에이아이 에이전트를 쓸지를 제약해서 알려줘야 돼요.
[오후 1:05:31]  : 여기서 문제가 날 수 있다.
[오후 1:05:33]  : 이 바이브 코딩에서는 보안 쪽에 있는 문제가 생길 수 있으니까 네가 봐야 된다.
[오후 1:05:56]  : 그러면서 원장님 같은 아니 이 클라이언트는 기본적으로 프로그래밍을 못하기 때문에 굉장히 유아이를 쉽게 만들어야 됩니다. 누구나 이해할 수 있게 오해의 여지가 없게 또 여기 있는 클라이언트는 나이가 이제 50 살이 높기 때문에 이게 딱 깔끔해야 돼요.
[오후 1:05:58]  : 막 이렇게 화려하면 아 어렵다 이렇게 하시더라고요. 그래서 그걸 제가 중간에서.
[오후 1:06:04]  : 이 사람한테도 얘기하고 얘한테도 얘기하고 해서 이걸 계속 만들어가는 과정을 지금 하고 있습니다.
[오후 1:06:13]  : 그래서 클라이언트는 랑 에이전트에서 디벨로브 한 다음에 어프로브 되면 실제로 이제 프로덕트로 가는다니 계속 돌리고 있습니다.
[오후 1:06:19]  : 그렇게 했을 때 이제 밸리데이션이 가장 중요합니다.
[오후 1:06:26]  : 액션 타입에서 이제 저는 에이전트가 읽는 건 자유, 그다음에 쓰는 거는 휴먼의 컨펌을 받아라.
[오후 1:06:30]  : 하지만 절대 딜리트나 액세스나 코드 같은 걸 보지는 마라.
[오후 1:06:48]  : 어떻게 하면 좋을까? 그래서 계속 진행을 하고 있고 여기에 대한 자세한 건 이렇게 다른 분이 이렇게 들어가면 되는데 일단 다른 것도 조금 소개를 했습니다. 이거?
[오후 1:06:51]  : 그래서 지금도 보시면 그 1시간 전에도 했거든요.
[오후 1:06:59]  : 그래서 제가 하루에 2시간 일하기로 했는데 하루에 6시간 그래서 이거 이렇게 하니까 그 미니멀 웨이즈까지 거의 다가왔거든요. 그래서 어 이거 뭐지 했는데.
[오후 1:07:01]  : 그래서.
[오후 1:07:06]  : 여기 클라이언트도 너무 무리하지 마.
[오후 1:07:10]  : 너 미국 간 이유가 엠비 뭐 이 창업 아니냐?
[오후 1:07:16]  : 해길래요. 엠비에이도 맞는데 저는 실제 이 케이스 스터디가 저한테도 도움이 많이 됩니다.
[오후 1:07:18]  : 그래서 돈을 많이 안 받더라도 계속하고 싶습니다 해서 재밌게 하고 있어요.
[오후 1:07:32]  : 조금씩 조금씩 만들고 있는 게 어 원장님께서는?
[오후 1:07:39]  : 하나의 서비스를 하나 이게 저희 회사의 TBI 약자입니다. 코리아 인스티튜트 오브 비즈니스, 애널리즘 디벨롭먼트.
[오후 1:07:43]  : 그래서 지금 만들고 있는 게 요런 건데?
[오후 1:07:47]  : 이제 빛이라고 해서?
[오후 1:08:13]  : 우리 40 명의 직원들이 있을 때 우리가 원장이 어떤 프로젝트를 가져오면 이 프로젝트에 적합한 인포이가 우리의 팀 멤버가 누군지를 찾아주는 제가 프로그램을 만들었던 게 각각 프로젝트마다 이 리콰이어먼트 되는트가 있고, 그 써티 피티를 가진 인플루이드들이 있고 거기에 따라서 아 이 사람들이 이 프로젝트는 참가하면 되겠다. 요거를 지금 이전까지는.
[오후 1:08:29]  : 이 클라이언트가 하나씩 다 생각을 했어요. 아, 얘가 저는 아 에이가 좋나? B 가 좋네라면서 근데 이제는 얘가 대신해 주고 있고 지속적으로 이 클라이언트는 여기는 점수 영향력 인플루언스 수치를 조정을 하면서 계속 이걸 다듬어 나가고 있습니다.
[오후 1:08:32]  : 어 요거 지금 하고 있고.
[오후 1:08:38]  : 그래서 이거는 이제 제가 음 지금 하고 있는 일에 대한 소개를 한 거고.
[오후 1:08:49]  : 근데 이거는 또 저는 재밌어하는 게 있는데 다른 사람들한테 알려주는 역할을 좋아해서 이키를 만들었다. 계속 여러 가지 것들을 위키를 만드는데 요즘에 또 이제 위키 같은 경우에도 내가 112다 쓰는 게 아니고.
[오후 1:08:55]  : 이런 식으로 이미지를 만들면서 위키를 만듭니다. 예를 들어서 이거는 파운데이션 넷스포 아키텍츄.
[오후 1:08:57]  : 이렇게 하면?
[오후 1:08:59]  : 저 같은 경우에는.
[오후 1:09:05]  : 처음에는 이제 직관적으로 우리는 보자.
[오후 1:09:08]  : 프럼 아날로그 리얼리티를 디지털한다. 이거는 우리가 사과를 했을 때.
[오후 1:09:23]  : 하나 2개 세 개라고 했을 때 사과라는 다른 물체를 하나의 엑스트랙션을 통해서 원 투 쓰리로 똑같은 것이 두 개다. 세 개다 이렇게 하는 그 관념부터 저는 알려주고 싶었거든요.
[오후 1:09:28]  : 이걸 통해서 우리가 수학을 기본적으로 알아야지, 나중에 이런 벡터 공부도 할 수 있다.
[오후 1:09:33]  : 그걸 한번 저는 위키를 1번 만들어봤어요. 그래서 저는 이걸 이걸 보면서 공부를 실제로 했어요.
[오후 1:09:35]  : 공도 재밌더라고요.
[오후 1:09:41]  : 그러면서 왜 이런 거에 대해서도 한번 고민을 해봐라는 거죠. 로마 방법은?
[오후 1:09:47]  : 이게 계산하기가 너무 어렵다.
[오후 1:09:51]  : 근데 우리가 하는 이런 포지션을 어 뉴플랜테이션이라고 해야 되나 하면 이런 식으로 우리가 영이.
[오후 1:09:58]  : 그 어떤 의미를 가진다, 이런 것들에 대해서 공부를 하게 되면 다른 것들도 이해가 된다, 이런 것들을 한번.
[오후 1:10:02]  : 위키를 만들어 봤습니다. 다른 사람이 이해할 수 있도록.
[오후 1:10:11]  : 또 다른 이거는 이거는 또 다른 이제 가르치는 부분인데 머신러닝 오퍼레이션을 공부하기 위해서.
[오후 1:10:13]  : 어.
[오후 1:10:21]  : 여러 가지 이제 방법들이 있었는데 이거는 데일리 성수라고 해서 지금 서울의 성수라는 지역이 외국인들이 엄청 많이 오거든요.
[오후 1:10:31]  : 그래서 근데 이 사람들이 얼마나 사람들이 많이 오는지를 우리가 예측하는 걸 또 대한민국 정부가 가지고 있는 지하철 혼잡도 데이터를 가지고.
[오후 1:10:38]  : 우리가 이걸 매일 예측해 보고 계속해서 발전해 나가는 걸 같이 만들어보자. 사실은 이런 서비스를 한번 만들어 봤습니다.
[오후 1:10:42]  : 아, 그럼 이제 처음에는 이런 단계로 이제 시작이 되는데?
[오후 1:10:48]  : 쉬운 단계에서부터 차례차례 공부하는 거죠.
[오후 1:10:58]  : 근데 저는 뭔가를 공부하는데 있어서 우리가 실제로 좀 써먹을 수 있는 부분들은 같이 만들어보면서 하면 모두가 이해도 되고 재미도 있지 않나 그런 생각을 했고.
[오후 1:11:05]  : 요 같은 경우는 좀 제가 재밌었던 게 리니어 알지?
[오후 1:11:10]  : 브라 리그레이션을 공부하는데 있어서 우리가 결국에는 서울 아파트 가격을 어 예측하고 싶어합니다.
[오후 1:11:21]  : 그랬을 때 이거를 어떻게 하면 머신러닝을 활용해서 할 수 있을까 했을 때 일단 모두가 다 쉬운 단계에서부터 계략 가장 쉬운 거.
[오후 1:11:24]  : 그건 일 일차함수라고 어?
[오후 1:11:24] Gichan Lee: 휴리스틱으로 보는 거죠? 그래서 휴리스틱으로 보면.
[오후 1:11:28]  : 이 여러 가지.
[오후 1:11:32]  : 여러 가지 이제 각각의 이제 강남구 뭐 송파구가 있어요?
[오후 1:11:53]  : 그때 이런 가격들이 있을 때 이런 가격들이 이렇게 분배가 돼있지만 우리가 가장 쉽게 예측하는 방법은 에어리아로 별로 예측을 할 수 있다 해서 강남구에서 이 정도 에어리 하면 이 정도 가격이다 해서 맞춰보자 했더니 결국에는 아 뭐 어느 정도 맞추는구나 실제랑 이.
[오후 1:12:10]  : 이렇게 맞추는 거 이런 걸 배우면서 어? 그럼 리뉴얼 리그레시를 토론을 해보고 멀티 피처 여러 가지 것들을 동원해 보고 쓰리디 리그레션을 해보고 PCI 에 필요한 건 필요한 것들만 가지고 그래서 데이트 클리닝 쓸데없는 것도 없애고 레고라이제이션 어느 정도 이렇게?
[오후 1:12:20]  : 이렇게 이렇게 줄이고 그러면 마지막으로 오토 ML 이라고 컴퓨터가 이거를 할 수 있게 하면 어떨까?
[오후 1:12:26]  : 이런 걸 통해서 결국에는 어 이게 음 옷차율을 줄인다 해서 레벨 일에서부터 십까지 갈수록 오차가 줄어들었어요.
[오후 1:12:38]  : 즉 우리는 처음에 가장 쉽게 에어리아로만 계산을 하는 거에 비해서 이런 기술들을 쓸수록 우리는 더 미래를 예측할 수 있다. 이거를 보여주는 프로 하면서 이걸 공부를 했습니다.
[오후 1:12:50]  : 예, 그래서 이걸 이제 칙칙적으로 이 정도 했었고 요거 같은 경우에도 어 리니알 집을 공부하기 위해서 이런 애니메이션 데모들을 만들어서 이게.
[오후 1:12:55]  : 공간이 스페이스가 움직이는 거기 때문에 저는 동영상으로 봐야 된다고 생각해요.
[오후 1:12:57]  : 동영상 부분을.
[오후 1:12:59]  : 프로그래밍으로 만드는 거죠.
[오후 1:13:05]  : 이게 제1 쉬운 것부터 해서 조금 조금씩 올려온 단계로 공부를 합니다.
[오후 1:13:07]  : 이게?
[오후 1:13:10]  : 어.
[오후 1:13:18]  : 컴퓨터 그 지금 머신 러닝 공부할 때는 필요하다고 저는 생각을 하거든요. 왜냐하면 우리는 이게 벡터스피에스라는 개념을 머릿속으로 상상하는 게 아니고 실제로 보면.
[오후 1:13:28]  : 각각의 워드 임베딩들이 어떻게 됐는지를 알 수 있기 때문에 이걸 이런 식으로 공부하면서 저도 공부하고 내가 공부한 거 흔적을 남겨서 남들도 공부할 수 있게.
[오후 1:13:32]  : 이렇게 만들어 보았습니다.
[오후 1:13:40]  : 그러면서 다른 서비스들을 만들어본 게 뭐 여러 가지 것들이 있고.
[오후 1:13:48]  : 예를 들어 이것 같은 건 좀 재밌었어요. 그 더 great b 에서 나오는 건데 어 위대한 the great capact 이라는 소설을 사람들이 좋아합니다.
[오후 1:13:53]  : 근데 너가 일기를 쓰면 그거를 위대한 캐치프 스타일로 바꿔주는 거예요.
[오후 1:13:55]  : 그런 것도 한번 만들어봤습니다.
[오후 1:14:03]  : 그러면서 뭐 이런 서비스들도 만들어봤다 요런 거 이게 해커스에서 한 일등 1번 했었다.
[오후 1:14:04]  : 그래.
[오후 1:14:05] Gichan Lee: 예.
[오후 1:14:12]  : 이름 한국에서 예, 한국에서 일등 했어 가지고 어?
[오후 1:14:13]  : 에어팟 좀 받았습니다. 요거는 뭐냐 하면 이거 아이디어도 좋았어요.
[오후 1:14:17]  : 네.
[오후 1:14:21]  : 그 제가 그 회의를 하거나 할 때 제가 목소리가 너무 커지는 경우가 있거든요.
[오후 1:14:25]  : 그 앞에 영향이 1개 놔두고 목소리가 너무 커진다.
[오후 1:14:26]  : 그 레드 얼럿을 줘 그러면 목소리가 줄어들게.
[오후 1:14:40]  : 그래서 그 1개 켜놓고 우리 회의를 하자 해서 그럼 거기서 조금 더 진행해서 어 누가 욕을 하거나 좀 문제가 되는 얘기를 한다. 그럼 그것도 경보 주기하자. 그래서 제가 센티넬이라고 이 프로젝트를 하나 만들었는데 이거?
[오후 1:14:55]  : 그래서 저는 어떻게 보면 이런 기술이 결국에는 누군가한테서 최소한 나한테라도 도움이 돼야 되고 써먹을 수 있어야지 그게 의미가 있다. 같이 밸류를 낸다고 생각해서 그런 걸 통해서 떠올려 봤습니다.
[오후 1:15:06]  : 영국 같은 경우에는 지금 이제 여기 스크린숏이 들어가야 되는데 아직 지금 다 만들지 못했으나 북 토스라고 우리나라 다. 대한민국에 보시면 이 강남구 도서관.
[오후 1:15:08]  : 이렇게 쳐버리면?
[오후 1:15:10]  : 이게 나오는데?
[오후 1:15:14]  : 책 검색이 엄청 힘들어요 예를 들어서.
[오후 1:15:16]  : 무책임.
[오후 1:15:18]  : 위대한.
[오후 1:15:21]  : 이렇게 책을 검색을 했을 때 일단.
[오후 1:15:35]  : 여기서 보시면 내가 원한 책도 나오지도 않고 지금 대출 불가 이거는 이제 인파서블 한 거거든요. 근데 이게 왜 있어? 그리고 그러면서 이게 보시면 도서관이 여기는 역삼 프로죠. 도서관 여기 대치동.
[오후 1:15:41]  : 다 달라고 내 내 옆에 있는 도서가 어딘지 모른다.
[오후 1:15:55]  : 그랬을 때 이거를 어 에이아 에이전트가 들어가서 이거를 다 가져와서 리스트로 가져온 다음에 나의 위치를 보고 매대 위치를 보고 해서 너 주변에 있는 도서관이 어딘지 보고 너 주변에 근처에 가서 책을 빌리면 되겠네.
[오후 1:15:59]  : 한 서비스를 만들었고, 이 한국의 토스 회사 아시네 토스.
[오후 1:16:09]  : 예 토스가 우리나라에서는 간편한 은행 앱이거든요. 간편하다, 심플하다. 저는 이제 북 토스라고 이름을 지었습니다.
[오후 1:16:22]  : 그리고 저 같은 경우에는 현재 내주소를 하고 찾고 싶은 도서를 해서 검색하기를 하면 조금 있다가 이렇게 나오게 만들었는데 지금 API 는 연결 안 돼있어서 아마 안될 겁니다.
[오후 1:16:25]  : 요런 거 다 한번 만들어보고.
[오후 1:16:29]  : 이게 이제 제가 창업을 하려고 하는?
[오후 1:16:36]  : 빛 헤빗이라고 해서 헤빗 트래킹 플랫폼을 지금 2년 동안 운영하고 있고 이것도 2년 전에 해커톤에서 이 등을 했었습니다.
[오후 1:16:38]  : 이 구 같은 경우에는.
[오후 1:16:47]  : 이게 이게 굉장히 한국적이에요. 우리가 습관을 만들고 싶은데 어떻게 만들지 했을 때 제가 생각하는 습관 중에 지금 하나는.
[오후 1:16:54]  : 20분 동안 하루에 20분 영어 공부라든지 뭐 운동이라든지 그런데 이걸 다 지키기가 어려워요.
[오후 1:17:00]  : 그랬을 때 우리는 제가 이 서비스를 만들었고, 2년 동안 운영을 했더니 사람들이 열심히 참가를 하세요.
[오후 1:17:01]  : 보여드리겠습니다.
[오후 1:17:06]  : 지금은 카카오톡에서 하고 있습니다 보시면.
[오후 1:17:18]  : 여기 보시면 제가 6명 이 들어가 있는데 매일매일 이렇게 자기가 공부한 걸 올립니다.
[오후 1:17:19]  : 이게 보시면 이게 지금 20분 공부를 하는 거고?
[오후 1:17:22]  : 타임랩스로 자기가 공부하는 걸 찍는 거죠?
[오후 1:17:31]  : 우리 현재 날짜가 나오고 이거를 사람들끼리 서로 공유를 해서 아 너 얼만큼 했어.
[오후 1:17:33]  : 나 얼마큼 했어 해서 매일매일 아 일주일에 5번 이상 하면 오케이.
[오후 1:17:35]  : 근데 안 하면 벌금?
[오후 1:17:38]  : 벌금 2천억 원 이렇게.
[오후 1:17:44]  : 그렇게 해서 이걸 하는 이게 2년 동안 운영한다. 유저가 안 나가요. 자기는 도움이 된대요.
[오후 1:17:49]  : 그럼 이 이걸 어떻게 이런 프로그램을 이거는 이제 제 사이트 들어가서 하고 있습니다.
[오후 1:17:56]  : 네 아 이거는 이거 휴대폰으로 보여드리겠습니다. 다 휴대폰으로 하기 때문에.
[오후 1:18:17]  : 계시고 이거는 서버도 무료예요. 완전 무료로 지금 제가 다 하고 있어서 그래서 제 아이디를 입력하고 오늘 공부하는 거 영어회화다. 이렇게 해서 여기다 스타트 이렇게 하면 이제 레코딩이 되는 거고 20 분이 지나면 스탑을 누르고.
[오후 1:18:18]  : 그러면 이제.
[오후 1:18:27]  : 체크를 한 다음에 이거를 이제 GIF 로 움직이는 사진으로 만들어 줍니다.
[오후 1:18:35]  : 이거를 지금 이렇게 해서 쉐어를 하고 있거든요. 근데 이걸 지금 조금 개선하려는 게 이 안에서 채팅 룸도 다 만들고 해서 이 안에서 지금 활동하도록 지금 좀 만들고 있습니다.
[오후 1:18:42]  : 요 서비스가 무료인데 무료긴 한데 사용자는 계속 써요 2년 동안.
[오후 1:18:47]  : 그래서 이게 돈이 되지 않을까? 지금 좀 생각을 하고 있습니다.
[오후 1:19:00]  : 아, 이거 나중에 조금 더 제가 여쭤보겠습니다. 그래서 이거 같은 경우는 이제 인프라해서 제가 지금 이 서비스들 여러 개를 서비스 운영을 하고 있는데.
[오후 1:19:12]  : 그 서비스들을 여러 개 운영하는 걸 지금 돈을 하나도 안 들이고 또 저는 오라카 클라우드를 쓰고 있는데 오라카 클라우드에 수리로도 이걸 지금 다 움직이고 있어요.
[오후 1:19:14]  : 그걸 지금 하고 있습니다. 이거 이것도 꽤 심어버려버렸어요.
[오후 1:19:24]  : 근데 나는 돈 쓰기 싫다 이렇게 해서 보시면 지금 서비스들이 운영되는 걸 볼 수가 있고 서비스가 엄청 많아요.
[오후 1:19:31]  : 그래서 어떻게 굴러갔는지도 다 적었기 때문에 누구나 보도라도 할 수 있고 앞으로 보시면?
[오후 1:19:39]  : 아까 센티넬이라는 서비스는센티넬.이테리.com, 북토스 스테티브엣 고스트 이거는 이제 블로그 사이트 이런 거 다. 지금 하고 있더라.
[오후 1:19:47]  : 운영하고 있다. 무료로 그게 저는 이렇게 생각하는 거죠?
[오후 1:19:53]  : 서비스를 만들었을 때 누구나 전 세계 어디 사람들이 들어가서 볼 수 있게 만드는 게 진짜 서비스지 네. 여기 노트북에서만 돌아가는 거는 결국 의미없다.
[오후 1:19:55]  : 누구나 들어갈 수 있게.
[오후 1:20:00]  : 제이님의 휴대폰에서도 들어갈 수 있게 만들어야 된다. 저는 그 생각을 했기 때문에 이걸 개발을 했습니다.
[오후 1:20:10]  : 그러면서 뭐 AI 로 뭐 비트코인 사고 팔고 하는 거 한번 만들어보고 해서 저는 이런 테크스택을 가지고 있고 이런 경험들을.
[오후 1:20:12]  : 했다.
[오후 1:20:15]  : 그래서 제가 베트남 하노이에서 4년 동안 일한 건 그.
[오후 1:20:30]  : 감아서 화상 영화 감아서도 혹시 아시나요? 한국말 가마솥 아 아시죠? 그 시골에 그 가마솥이 처음에는 차잖아요. 차가운데 나중에는 뜨겁고 계속 뜨겁잖아요.
[오후 1:20:35]  : 그래서 제가 영어를 공부할 때 처음에는 잘 안되더라도 시간이 지나면 가마솥까지 따끈해서 계속 잘 된다.
[오후 1:20:41]  : 그래서 우리 천천히 영어 공부를 하든지 과반수 화상영어 사업을 했었습니다.
[오후 1:21:00]  : 저 이름 있고 엄청 짓는데 힘들었어요 뭐 할까 뭐 할까 하다가. 그래서 저는 베트남에 살고 있는 한국 학생들하고 필리핀 선생님들, 필리핀에 살고 있는 필리핀 선생님들을 연결해서 영어 수업하는 사업을 했었고, 저는 그 사이에 하여튼 학생들을 위해서 유니티로.
[오후 1:21:04]  : 영업 영어 배우는 게임 같은 거 좀 만들어서 해봐야겠다고 해서 도움 많이 됐었습니다.
[오후 1:21:08]  : 그게 제가 이때까지 산.
[오후 1:21:11]  : 어때요? 제 포트폴리오.
[오후 1:21:20]  : 그 할 만큼 했네, 어떤 거 말씀하시는지? 아니 어.
[오후 1:21:26]  : 예 이건 부산 부산 아 구 예 구경 내셔널 유니버스티 구경 예.
[오후 1:21:30]  : 네 네 그 수산데 예전에 수산이었습니다. 예.
[오후 1:21:44]  : 그 이때는 이제 인더스트리 엔지니어링을 했고 요거 이제 이천십사년에서 2001 십육년부터는 베트남에 4년 살고 다시 와서 컴퓨터 사이언스 이거 지금 하고 지금 일하고 있는.
[오후 1:21:44]  : 거예요.
[오후 1:21:49]  : 아 이콜 허리 투가 이게 조금 좋습니다 이콜 이콜.
[오후 1:21:59]  : 이게 꽤 좋은 기관인 게 어. 이거 왜 프랑스어로 나오네? 영어로 어떻게 영어로?
[오후 1:22:04]  : 이런 어.
[오후 1:22:11]  : 교육 교육기관이 있는데 지금 보시면 이거 프랑스의 어떤 부자가 만들었고.
[오후 1:22:27]  : 지금 로케이션 하면 이렇게 나오는데 한 지금 한 50 군데는 됩니다. 캠퍼스가 이 이 학교의 특징이 컨트롤 사이언스를 가르치는데 선생님이 없고 그다음에 어 렉처가 없고 오로지 피어만 있고 어 등록금이 무료입니다.
[오후 1:22:38]  : 그래서 이걸 지금은 여러 업체에서 여러 대에서 하고 있는데 컨퍼런스 사이언스를 동료들하고 같이 공부하면서 해봐라 해서 어.
[오후 1:22:46]  : 프로젝트만 줘요. 그래서 그 프로젝트나 어사인먼트만 하면서 공부를 하는 과정인데 저는 제 와이프랑 2년 동안은 잘했습니다.
[오후 1:22:58]  : 저는 원래 컴퓨터를 좋아했는데 제 와이프는 컴퓨터를 아예 몰랐는데 잉글리쉬 리뷰럴츄얼 메이저거든요.
[오후 1:23:03]  : 근데 제가 컴퓨터 같이 하자 컴퓨터를 해야지 세상에서 우리가 일을 할 수 있다. 그래서 컴퓨터를 같이 하자.
[오후 1:23:06]  : 프로그래밍만 2년 넘게 했습니다. 네.
[오후 1:23:12]  : 그래서 처음에는 씨 프로그래밍 하는데 많이 힘들었지만 결국에는 아 씨 프로그래밍을 하니까.
[오후 1:23:16]  : 파이썬이 쉽더라고요.
[오후 1:23:25]  : 파이썬 근데 저는 c 프로그래밍이 반드시 필요하다고 생각합니다. 컴퓨터에 펀더멘털 알 수 예.
[오후 1:23:36]  : 그래서 하길 잘했고 이게 캠퍼스가 엄청 많아가지고 저는 이걸 쓰면 이게 싱가폴에도 있고 말레이시아에도 한 세 군데 있어요. 포티트 싱가폴 포티트 조화로 이렇게 해서 말레이시아도 그래서.
[오후 1:23:46]  : 그 사람들끼리는 또 서로 네트워킹을 많이 해요. 그래서 저는 싱가포르 갔을 때는 싱가폴 42, 싱가포르 가고.
[오후 1:23:55]  : 그래서 저는 이제 트랜스포드 할 수 있어서 지금 42 싱가폴에 트랜스퍼를 하면 이 스튜던트 패스를 줘요. 그러면 인턴으로는 일할 수 있더라고요.
[오후 1:23:58]  : 그래서 그걸 좀 해볼까 하고도 있습니다.
[오후 1:24:03]  : 예, 그래서 이렇게 했었고.
[오후 1:24:07]  : 저 일한 거는 보면 일은 그렇게 많이는 안 했습니다.
[오후 1:24:13]  : 요게 가마솥은 제가 했고, FPT 소프트 코리아 이게 이제 베트남 회사입니다.
[오후 1:24:25]  : 베트남 회사인데 이게 베트남의 그 스톡마켓에서 사등 회사예요. 엄청 큰 회사예요. 위에 123 등은 그 커뮤니스트 컴패니들이고 딱 이게 소프트웨어 코리아하고 베트남 사람들 4만 명이 있고.
[오후 1:24:37]  : 전 세계로 이제 아웃소싱을 하고 있습니다. 저는 거기서 임베디스프트 엔지니어로 한국인하고 베트남 사람들하고 같이 현대오토에버에 있는 어?
[오후 1:24:42]  : 자동차에 있는 시크릿 모듈들을 진단하는 일들을 얼마 안 했습니다.
[오후 1:24:46]  : 1년 정도 하고 콘센트 스위스쿨 이거는 미국 회사인데 아시나요? 아, 이게 비피어 회사인데.
[오후 1:24:53]  : 이건 마이크로소프트 M365 서포트라는 테크니컬 소프트 엔지니어였습니다.
[오후 1:24:55]  : 하다가 지금 이거 이해하고 있습니다.
[오후 1:25:00]  : 여기 여기 제.
[오후 1:25:06]  : 예 나이가?
[오후 1:25:07]  : 37.
[오후 1:25:10]  : 맞나요?
[오후 1:25:12]  : 그러니까.
[오후 1:25:14]  : 네, 맞습니다. 예.
